B,PP,SC,R,CV,ephem,BG,flesha,Other,fila,MT,crusts,HAL
21137,1029,755,363,797,178,150,72,133,214,425,55,218
950,717,149,55,83,113,51,33,17,32,40,2,68
419,68,466,86,87,130,102,51,22,75,48,7,111
620,62,45,324,37,63,122,10,28,19,65,26,61
346,49,170,154,633,94,80,70,52,106,23,22,209
1049,91,45,45,2,178,78,22,8,9,18,1,93
447,39,27,91,7,44,87,8,2,5,7,2,33
91,4,32,26,20,75,30,28,13,4,3,2,23
132,11,15,44,45,15,9,8,42,19,3,5,28
53,24,106,55,67,120,61,19,18,78,5,2,44
130,82,110,30,40,88,191,19,7,29,138,6,46
44,3,8,39,5,7,17,3,3,2,9,7,11
273,14,36,37,14,182,86,24,15,17,6,2,177
